Index,SO2-1,oxyHb-1,deoxyHb-1
318,62.4,172.8,104.1
319,62.9,230.7,136.1
320,62.3,274.7,165.9
321,60.8,291.6,188.3
322,55.7,295.3,234.5
323,51.4,282.5,267.4
324,54.6,287.2,239.2
325,53.4,273.6,238.6
326,53,269.3,239.1
327,52,268.4,247.8
328,52.5,261.5,237
329,54.5,268.8,224.8
330,54.1,274.8,233.4
331,50.9,260.2,251
332,50.9,260.7,251.1
333,54.1,263.9,224.2
334,55.3,264.5,213.5
335,59,282.7,196.4
336,55.8,268,212.1
337,56.5,255,196.5
338,57,252.6,190.6
339,55.1,243.4,198
340,56.2,253.7,197.6
341,56.2,260.6,202.9
342,56.2,265.7,206.8
343,55.9,271.5,214.1
344,54.4,273.4,228.9
345,55.5,287.8,231.1
346,51.2,282.9,269.5
347,47.3,255.8,284.4
348,50.6,261.2,255.2
349,47.9,251.3,273.8
350,46.1,236.6,276.7
351,46.8,241,274.2
352,46,235.4,276.8
353,47.6,238.6,262.4
354,47.7,242.3,265.8
355,46.2,239.1,278.8
356,51.1,252,241.5
357,53.8,261.3,224.1
358,54.6,263.7,219.7
359,55.2,268.6,217.6
360,54.6,261.3,217.3
361,54.2,254.8,215.2
362,54.4,248.5,208.5
363,53.6,250.5,216.6
364,56.5,273.5,210.1
365,99.8,663,1
366,45.7,114.5,136.1
367,45.7,114.5,136.1
368,34.5,200.1,379.8
369,59.6,266.4,180.8
370,38.4,199.8,320
371,47.6,199.8,219.9
372,47.2,213.3,238.9
373,43.8,193.5,248
374,46.4,191.9,222
375,55.3,203.1,164.1
376,52.4,192.4,174.9
377,52.6,218.1,196.2
378,46.6,219.4,251
379,56.9,198.7,150.3
380,63.6,256.1,146.3
381,79.1,205.2,54.4
382,55.6,196.1,156.8
383,60.4,201.9,132.2
384,60,188.6,125.9
385,62.3,199.5,120.9
386,62.8,211.3,125
387,63.6,233.9,133.6
388,61.7,250.8,156
389,53.7,183,157.7
390,36,193.9,344.1
391,65.1,193.1,103.4
392,52.8,248.8,222.2
393,47.1,235.8,264.4
394,52.9,226.4,202
395,45.8,202.5,239.5
396,46,205.4,240.7
397,47.3,188,209.9
398,52.5,183.7,166.1
399,51.9,184.1,170.4
400,36.3,169.3,296.7
401,52.8,187.5,167.4
402,59.9,250.3,167.5
403,43.8,160,205
404,59,220.3,153
405,56.4,211.9,163.6
406,57.6,204.3,150.5
407,58,197.6,142.9
408,57.1,187,140.4
409,59.3,201,137.8
410,53.8,224.9,193.5
411,36.8,155,265.8
412,27.4,178.1,472.3
413,52.1,222,204.3
414,41.6,187,262.6
415,46.7,204.1,233.3
416,44.8,191.2,236.1
417,45.4,196.9,237.2
418,44.1,201,254.7
419,41.6,209.2,293.4
420,56.6,230.9,177
421,53.7,166.7,143.6
422,60.1,288.2,191.6
423,48.6,259.1,274.4
424,53.4,235,204.8
425,54.8,234.6,193.1
426,54.5,251,209.6
427,54.6,246,204.4
428,58,265.3,191.9
429,56.2,253.6,197.8
430,60,270.1,179.8
431,60.7,284.5,184.4
432,56.7,271.8,207.9
433,62.3,277.5,168.1
434,58.5,268.3,190.1
435,59,267.8,185.9
436,62.5,287.4,172.6
437,60.6,275.9,179.3
438,61.7,281,174.1
439,65,297.9,160.1
440,61.3,277,175.1
441,63.7,301.1,171.5
442,63,286.6,168.5
443,65.5,298.3,156.9
444,64,299.7,168.7
445,65.9,300.2,155.4
446,64.2,311.6,173.8
447,64.2,274,152.5
448,63.2,342.2,199.3
449,69.6,321.3,140.3
450,68.1,329.1,154.3
451,67.1,310.2,152.3
452,65,301.3,161.9
453,64.3,308.7,171.7
454,65.2,306,163.4
455,63.4,298.5,172.6
456,64.6,299.8,164.1
457,65.5,308.9,162.8
458,63.1,298,174.4
459,66.1,321.9,165.3
460,65.2,307,163.5
461,65.7,306.6,159.9
462,65.2,311.4,166.4
463,63.6,298.6,170.9
464,65.8,292.5,151.8
465,64,299.1,168.2
466,60.9,264.6,169.9
467,62.3,292.8,177
468,62.5,292.1,175.5
469,62.5,295.1,177.4
470,62.5,303.9,182
471,60.1,288.8,191.7
472,61.6,296.9,185.1
473,60.6,287.5,186.9
474,57.5,270.9,200.3
475,60.7,296.6,191.9
476,57.4,280.1,208.2
477,52.8,259.8,231.9
478,56.2,271.7,211.9
479,58.1,283.3,204.4
